id,name,season,raptor_offense,raptor_defense,raptor_total,war_total,createdAt,updatedAt
1,"Alex Abrines",2017,0.543421,-1.14483,-0.601411,1.24901,NULL,NULL
2,"Alex Abrines",2018,-0.0208259,-1.50264,-1.52347,0.777304,NULL,NULL
3,"Alex Abrines",2019,-4.04016,1.88562,-2.15454,0.178167,NULL,NULL
4,"Quincy Acy",2014,-1.56526,-0.216477,-1.78173,0.415918,NULL,NULL
5,"Quincy Acy",2015,-2.45606,-0.420948,-2.87701,-0.0833126,NULL,NULL
6,"Quincy Acy",2016,-0.58754,0.353933,-0.233607,1.12348,NULL,NULL
7,"Quincy Acy",2017,-0.34363,0.57615,0.23252,0.835632,NULL,NULL
8,"Quincy Acy",2018,-2.20818,-0.658814,-2.867,-0.0812323,NULL,NULL
9,"Quincy Acy",2019,-5.58174,4.96901,-0.612733,0.135231,NULL,NULL
10,"Jaylen Adams",2019,-2.37764,-3.73473,-6.11237,-0.733513,NULL,NULL
11,"Jordan Adams",2015,2.09589,0.518038,2.61393,0.715005,NULL,NULL
12,"Jordan Adams",2016,-7.73448,1.41773,-6.31674,-0.0281017,NULL,NULL
13,"Steven Adams",2014,-1.47731,-0.300116,-1.77742,0.741984,NULL,NULL
14,"Steven Adams",2015,-1.85991,1.9726,0.112691,2.56943,NULL,NULL
15,"Steven Adams",2016,1.30503,4.15791,5.46294,10.7113,NULL,NULL
16,"Steven Adams",2017,-1.62602,1.77221,0.146187,3.77586,NULL,NULL
17,"Steven Adams",2018,1.4676,1.1402,2.6078,7.34143,NULL,NULL
18,"Steven Adams",2019,-0.0717502,1.87502,1.80327,6.60145,NULL,NULL
19,"Bam Adebayo",2018,-2.21937,1.03946,-1.17992,1.17212,NULL,NULL
20,"Bam Adebayo",2019,-1.87531,2.67601,0.800702,3.45122,NULL,NULL
21,"Deng Adel",2019,-6.33371,0.558883,-5.77483,-0.295886,NULL,NULL
22,"Jeff Adrien",2014,0.164666,-2.1042,-1.93953,0.391858,NULL,NULL
23,"Jeff Adrien",2015,-1.04161,0.917083,-0.124531,0.288294,NULL,NULL
24,"Arron Afflalo",2014,1.22426,-3.02319,-1.79893,1.2319,NULL,NULL
25,"Arron Afflalo",2015,-0.985917,-1.67315,-2.65907,0.0979402,NULL,NULL
26,"Arron Afflalo",2016,-0.62541,-2.48134,-3.10675,-0.42446,NULL,NULL
27,"Arron Afflalo",2017,-1.25249,-4.75729,-6.00978,-2.59303,NULL,NULL
28,"Arron Afflalo",2018,-2.85896,-1.52403,-4.38299,-0.562243,NULL,NULL
29,"Alexis Ajinca",2014,-2.05461,-0.753445,-2.80805,-0.0281024,NULL,NULL
30,"Alexis Ajinca",2015,-0.397201,1.37558,0.978375,1.83751,NULL,NULL
31,"Alexis Ajinca",2016,-3.44406,1.29157,-2.15249,0.262838,NULL,NULL
32,"Alexis Ajinca",2017,-4.43674,1.22984,-3.2069,-0.136315,NULL,NULL
33,"DeVaughn Akoon-Purcell",2019,-2.2295,-1.01984,-3.24934,-0.00555558,NULL,NULL
34,"Furkan Aldemir",2015,-0.318228,-1.66192,-1.98015,0.212165,NULL,NULL
35,"Cole Aldrich",2014,-0.508187,3.8967,3.38851,1.02874,NULL,NULL
36,"Cole Aldrich",2015,-2.78805,1.45964,-1.3284,0.709717,NULL,NULL
37,"Cole Aldrich",2016,-1.3407,2.88413,1.54342,1.93626,NULL,NULL
38,"Cole Aldrich",2017,-2.04038,-0.173789,-2.21417,0.144465,NULL,NULL
39,"Cole Aldrich",2018,-6.29476,-4.68028,-10.975,-0.205863,NULL,NULL
40,"LaMarcus Aldridge",2014,1.43352,2.32636,3.75987,9.74602,NULL,NULL
41,"LaMarcus Aldridge",2015,2.27844,1.63771,3.91615,9.15279,NULL,NULL
42,"LaMarcus Aldridge",2016,0.982099,1.61641,2.59851,7.05947,NULL,NULL
43,"LaMarcus Aldridge",2017,-1.39337,1.05297,-0.34039,3.43714,NULL,NULL
44,"LaMarcus Aldridge",2018,2.59819,1.37344,3.97163,9.07682,NULL,NULL
45,"LaMarcus Aldridge",2019,0.648586,1.41426,2.06285,7.13753,NULL,NULL
46,"Cliff Alexander",2016,-6.35491,2.89818,-3.45672,-0.0128892,NULL,NULL
47,"Rawle Alkins",2019,-3.53844,-2.16188,-5.70032,-0.180514,NULL,NULL
48,"Grayson Allen",2019,-4.7881,-5.54903,-10.3371,-1.67976,NULL,NULL
49,"Jarrett Allen",2018,-2.92416,-1.13053,-4.05469,-0.956237,NULL,NULL
50,"Jarrett Allen",2019,-1.50667,-3.07132,-4.57799,-2.06664,NULL,NULL
51,"Kadeem Allen",2018,-6.3793,-1.26356,-7.64286,-0.26844,NULL,NULL
52,"Kadeem Allen",2019,2.07814,-1.0238,1.05434,0.801391,NULL,NULL
53,"Lavoy Allen",2014,-2.71048,-0.316684,-3.02716,-0.152262,NULL,NULL
54,"Lavoy Allen",2015,-0.407117,1.64825,1.24113,2.16489,NULL,NULL
55,"Lavoy Allen",2016,-0.763858,-0.42744,-1.1913,1.28823,NULL,NULL
56,"Lavoy Allen",2017,-0.708103,-0.571198,-1.2793,0.658282,NULL,NULL
57,"Ray Allen",2014,1.77213,-1.56944,0.202686,3.75018,NULL,NULL
58,"Tony Allen",2014,0.567375,2.31253,2.8799,4.401,NULL,NULL
59,"Tony Allen",2015,-0.38877,4.7866,4.39783,7.11315,NULL,NULL
60,"Tony Allen",2016,-0.987827,1.69972,0.711889,3.04547,NULL,NULL
61,"Tony Allen",2017,-0.714337,2.2202,1.50586,4.14843,NULL,NULL
62,"Tony Allen",2018,-2.36101,-0.614849,-2.97586,-0.0317652,NULL,NULL
63,"Al-Farouq Aminu",2014,-1.32969,0.471508,-0.858179,1.96633,NULL,NULL
64,"Al-Farouq Aminu",2015,0.0939734,2.93449,3.02846,4.48919,NULL,NULL
