player_name,season,raptor_offense,raptor_defense,raptor_total,war_total
Alex Abrines,2017,0.543421233,-1.14483179,-0.601410556,1.249007678
Alex Abrines,2018,-0.020825876,-1.50264169,-1.523467566,0.77730446
Alex Abrines,2019,-4.040156587,1.885618356,-2.154538232,0.17816732
Quincy Acy,2014,-1.565257149,-0.216476793,-1.781733942,0.415918084
Quincy Acy,2015,-2.456064586,-0.420948055,-2.877012641,-0.083312615
Quincy Acy,2016,-0.58754047,0.353933379,-0.233607091,1.123479142
Quincy Acy,2017,-0.343630331,0.576149899,0.232519568,0.835632018
Quincy Acy,2018,-2.208182427,-0.658814194,-2.866996621,-0.08123232
Quincy Acy,2019,-5.581744442,4.969011211,-0.612733231,0.135231411
Jaylen Adams,2019,-2.377643964,-3.734729095,-6.112373059,-0.733513242
Jordan Adams,2015,2.095889849,0.518037995,2.613927843,0.715004586
Jordan Adams,2016,-7.734475447,1.417734677,-6.31674077,-0.028101725
Steven Adams,2014,-1.477307512,-0.300116319,-1.777423832,0.741983669
Steven Adams,2015,-1.859905727,1.972597164,0.112691438,2.569431836
Steven Adams,2016,1.305029655,4.157908948,5.462938603,10.71133281
Steven Adams,2017,-1.626024544,1.772211917,0.146187373,3.775858111
Steven Adams,2018,1.467602698,1.140201316,2.607804014,7.34142524
Steven Adams,2019,-0.071750204,1.875017591,1.803267387,6.601450742
Bam Adebayo,2018,-2.219373354,1.039458046,-1.179915308,1.172123132
Bam Adebayo,2019,-1.875309771,2.676011508,0.800701737,3.451223821
Deng Adel,2019,-6.33371243,0.558883109,-5.774829321,-0.29588577
Jeff Adrien,2014,0.164665749,-2.104197284,-1.939531535,0.391857954
Jeff Adrien,2015,-1.041614438,0.917083263,-0.124531175,0.288294064
Arron Afflalo,2014,1.22425804,-3.02318616,-1.79892812,1.231903915
Arron Afflalo,2015,-0.985917143,-1.673151448,-2.659068591,0.097940159
Arron Afflalo,2016,-0.625410261,-2.481338924,-3.106749185,-0.424460423
Arron Afflalo,2017,-1.252486813,-4.757288217,-6.00977503,-2.593034888
Arron Afflalo,2018,-2.858956209,-1.524033967,-4.382990176,-0.562242617
Alexis Ajinca,2014,-2.054606668,-0.75344482,-2.808051489,-0.028102436
Alexis Ajinca,2015,-0.397201369,1.375576424,0.978375055,1.837508138
Alexis Ajinca,2016,-3.444059038,1.2915655,-2.152493538,0.262838216
Alexis Ajinca,2017,-4.436739426,1.229835643,-3.206903783,-0.136314643
DeVaughn Akoon-Purcell,2019,-2.229499469,-1.019839791,-3.24933926,-0.005555579
Furkan Aldemir,2015,-0.318228362,-1.661918132,-1.980146495,0.21216464
Cole Aldrich,2014,-0.508187124,3.896700735,3.388513611,1.02873738
Cole Aldrich,2015,-2.78804587,1.459642861,-1.328403009,0.709716538
Cole Aldrich,2016,-1.340703831,2.88412763,1.543423799,1.936260175
Cole Aldrich,2017,-2.040379858,-0.173788867,-2.214168724,0.144464506
Cole Aldrich,2018,-6.294758546,-4.680285043,-10.97504359,-0.205863423
LaMarcus Aldridge,2014,1.433515593,2.326357965,3.759873558,9.746017938
LaMarcus Aldridge,2015,2.278443308,1.637708536,3.916151844,9.152786751
LaMarcus Aldridge,2016,0.982099464,1.616412491,2.598511954,7.059470295
LaMarcus Aldridge,2017,-1.393364987,1.052974577,-0.34039041,3.437144984
LaMarcus Aldridge,2018,2.59819016,1.373438861,3.971629021,9.076819119
LaMarcus Aldridge,2019,0.648585995,1.414263641,2.062849637,7.137532501
Cliff Alexander,2016,-6.354905756,2.898182484,-3.456723273,-0.012889206
Rawle Alkins,2019,-3.538436418,-2.161881071,-5.700317489,-0.180513697
Grayson Allen,2019,-4.788103622,-5.549027311,-10.33713093,-1.679755396
Jarrett Allen,2018,-2.924159372,-1.130534872,-4.054694244,-0.956236725
Jarrett Allen,2019,-1.506668479,-3.071319091,-4.57798757,-2.06663699
Kadeem Allen,2018,-6.379300135,-1.2635628,-7.642862935,-0.268439635
Kadeem Allen,2019,2.07813831,-1.023795247,1.054343063,0.801390513
Lavoy Allen,2014,-2.71047982,-0.31668423,-3.02716405,-0.152261528
Lavoy Allen,2015,-0.407116554,1.648250636,1.241134083,2.164894374
Lavoy Allen,2016,-0.763857588,-0.427440292,-1.191297881,1.288226225
Lavoy Allen,2017,-0.708102982,-0.571197917,-1.279300898,0.658282028
Ray Allen,2014,1.772126953,-1.569440866,0.202686087,3.750178903
Tony Allen,2014,0.567374556,2.312526373,2.879900929,4.400997522
Tony Allen,2015,-0.388770177,4.786599888,4.397829711,7.113151848
Tony Allen,2016,-0.987826565,1.699715111,0.711888546,3.045469198
Tony Allen,2017,-0.714337257,2.220195882,1.505858626,4.148433717
Tony Allen,2018,-2.361014305,-0.614848527,-2.975862832,-0.031765185
Al-Farouq Aminu,2014,-1.329687578,0.47150828,-0.858179298,1.966334705
Al-Farouq Aminu,2015,0.093973444,2.934491398,3.028464842,4.489189758
Al-Farouq Aminu,2016,-0.361509284,1.174910554,0.81340127,5.016918475
Al-Farouq Aminu,2017,-2.170817306,3.378003824,1.207186518,3.802896234
Al-Farouq Aminu,2018,-0.605352237,2.092264506,1.486912268,4.759255562
Al-Farouq Aminu,2019,0.29984583,0.636137897,0.935983728,5.0258856
Lou Amundson,2014,-4.896981982,-0.561729207,-5.458711189,-0.241764214
Lou Amundson,2015,-3.319203468,2.17756641,-1.141637058,0.779910328
Lou Amundson,2016,-5.493576433,2.348716255,-3.144860178,-0.041234064
Alan Anderson,2014,-0.918986781,-0.065936846,-0.984923628,1.826651236
Alan Anderson,2015,-0.272067463,1.470220202,1.198152739,3.827922237
Alan Anderson,2016,0.724463278,-2.814989106,-2.090525828,0.064595784
Alan Anderson,2017,-1.813429295,-5.492343947,-7.305773242,-0.710220716
Chris Andersen,2014,0.492892604,2.268917427,2.76181003,4.849268995
Chris Andersen,2015,-1.626335602,-0.081451838,-1.70778744,0.600826593
Chris Andersen,2016,-0.148049655,-0.464202644,-0.612252299,0.526616384
Chris Andersen,2017,-2.218286853,0.912267571,-1.306019282,0.084746752
James Anderson,2014,-1.968788068,-1.394472982,-3.36326105,-0.728275377
James Anderson,2016,-3.598586121,0.850105017,-2.748481104,0.000560113
Justin Anderson,2016,-1.446197587,0.200054479,-1.246143108,0.610282045
Justin Anderson,2017,-1.201814983,-0.821812862,-2.023627845,0.451296847
Justin Anderson,2018,-1.163460871,-0.326327553,-1.489788424,0.353191785
Justin Anderson,2019,-2.607197469,0.109253155,-2.497944315,0.060024256
Kyle Anderson,2015,-3.784997506,-2.691064767,-6.476062273,-0.673229133
Kyle Anderson,2016,-1.871196218,0.335055609,-1.536140608,0.842850635
Kyle Anderson,2017,-0.692660583,2.533777977,1.841117395,2.855148252
Kyle Anderson,2018,-0.306724949,3.020292511,2.713567562,5.713083694
Kyle Anderson,2019,-2.037901415,2.221698331,0.183796917,1.904689771
Ryan Anderson,2014,3.904641047,-3.257882887,0.64675816,1.367284635
Ryan Anderson,2015,1.747884252,-1.693287517,0.054596735,2.528884993
Ryan Anderson,2016,1.971410252,0.294975642,2.266385895,5.151366157
Ryan Anderson,2017,0.6852407,-0.441393565,0.243847135,3.743713308
Ryan Anderson,2018,-0.075239761,0.176852786,0.101613024,2.652481683
Ryan Anderson,2019,-3.32983319,-1.812325253,-5.142158443,-0.390995326
Ike Anigbogu,2018,-0.259621669,-12.96556909,-13.22519076,-0.160587652
Ike Anigbogu,2019,-22.44881373,-30.15911941,-52.60793314,-0.156443358
Giannis Antetokounmpo,2014,-1.141213935,0.23340087,-0.907813065,1.784034014
Giannis Antetokounmpo,2015,-0.802795579,-0.358578646,-1.161374225,2.211484865
Giannis Antetokounmpo,2016,0.757930952,-0.228350115,0.529580837,4.707738546
Giannis Antetokounmpo,2017,2.777291823,2.459825128,5.237116952,12.5596554
Giannis Antetokounmpo,2018,3.30536437,2.243495851,5.548860221,12.90944367
Giannis Antetokounmpo,2019,3.881445468,2.925072159,6.806517627,14.26986143
Kostas Antetokounmpo,2019,-14.3127795,24.44322508,10.13044558,0.07316733
Thanasis Antetokounmpo,2016,11.43545411,-19.02220102,-7.58674691,-0.014824454
Carmelo Anthony,2014,4.174904921,-0.390214473,3.784690448,9.860994962
Carmelo Anthony,2015,3.751971958,-2.461964054,1.290007903,2.924209925
Carmelo Anthony,2016,3.451812128,-2.740508012,0.711304116,4.456371769
Carmelo Anthony,2017,1.929266526,-3.107113031,-1.177846505,2.032332401
Carmelo Anthony,2018,0.954832407,-1.744079043,-0.789246636,2.687007984
Carmelo Anthony,2019,-2.506433108,-2.628393889,-5.134826997,-0.357080567
Joel Anthony,2014,-4.384975874,-0.429847682,-4.814823556,-0.194876452
Joel Anthony,2015,-2.550201158,1.864080822,-0.686120337,0.424556704
Joel Anthony,2016,-2.642795528,-3.155281992,-5.79807752,-0.148759635
Joel Anthony,2017,-5.485497506,1.257020565,-4.228476941,-0.103013901
Pero Antic,2014,-1.213967604,0.699869642,-0.514097962,1.297095537
Pero Antic,2015,-1.346544651,1.260222476,-0.086322175,1.700127352
OG Anunoby,2018,-0.695459047,1.413255031,0.717795984,3.051082432
OG Anunoby,2019,-3.349478071,-0.297940427,-3.647418498,-0.620124917
Keith Appling,2016,-11.16318411,6.692671387,-4.470512719,-0.02415162
Ryan Arcidiacono,2018,-2.858780513,-0.856969742,-3.715750255,-0.149061981
Ryan Arcidiacono,2019,-0.091055502,-0.40309072,-0.494146222,2.227069655
Trevor Ariza,2014,1.213292893,0.933668442,2.146961335,8.034786623
Trevor Ariza,2015,0.197130588,1.424710289,1.621840877,7.993878404
Trevor Ariza,2016,0.185511468,-0.93005972,-0.744548252,3.103844513
Trevor Ariza,2017,0.888593576,0.370377069,1.258970645,6.490314799
Trevor Ariza,2018,0.155960168,-0.581981404,-0.426021237,3.406579318
Trevor Ariza,2019,-0.217655077,-1.978481824,-2.196136901,0.659834095
Hilton Armstrong,2014,-1.618231729,-3.098169004,-4.716400733,-0.095478995
Metta World Peace,2014,-1.239329679,2.647045526,1.407715847,0.820040318
Metta World Peace,2016,-2.548532002,0.278146677,-2.270385325,0.143345407
Metta World Peace,2017,-5.394632097,-2.328373543,-7.72300564,-0.406417216
Darrell Arthur,2014,-3.628984018,1.889036464,-1.739947554,0.601669702
Darrell Arthur,2015,-3.298918205,4.657759021,1.358840816,2.090227881
Darrell Arthur,2016,-1.883558941,1.764146962,-0.119411979,2.038822611
Darrell Arthur,2017,-1.505690243,-0.656799348,-2.162489591,0.192896131
Darrell Arthur,2018,-5.421537695,-4.141978809,-9.563516504,-0.498596395
Jamel Artis,2018,-3.848578075,-3.391571766,-7.240149841,-0.632604422
Omer Asik,2014,-2.292207546,1.95978577,-0.332421776,1.396991849
Omer Asik,2015,-2.018617252,2.470218914,0.451601662,3.34270881
Omer Asik,2016,-3.455651353,-0.543304898,-3.99895625,-0.748588012
Omer Asik,2017,-4.18540585,-1.416768589,-5.602174439,-0.69929594
Omer Asik,2018,-6.321631586,-1.616638544,-7.93827013,-0.485444492
D.J. Augustin,2014,2.003621139,-2.129578888,-0.125957749,2.746394592
D.J. Augustin,2015,-0.193940041,-1.530517259,-1.7244573,1.022438549
D.J. Augustin,2016,1.052848366,-2.910641984,-1.857793618,0.538688767
D.J. Augustin,2017,-2.190055864,-4.160976042,-6.351031906,-2.798342602
D.J. Augustin,2018,0.407657292,-0.489579018,-0.081921726,2.384190847
D.J. Augustin,2019,2.258336599,-2.376711108,-0.118374508,3.20136588
Gustavo Ayon,2014,-3.617299719,3.686043268,0.068743549,0.619439276
Deandre Ayton,2019,-0.616975515,-1.675566944,-2.292542459,0.50599749
Chris Babb,2014,-2.494689832,-1.008506352,-3.503196185,-0.050920866
Luke Babbitt,2014,1.980428227,-0.765389265,1.215038962,0.952402726
Luke Babbitt,2015,0.087508647,-2.259443942,-2.171935294,0.244984365
Luke Babbitt,2016,0.973730545,-2.05590293,-1.082172385,0.71779563
Luke Babbitt,2017,-0.462168122,0.157124654,-0.305043468,1.321866054
Luke Babbitt,2018,-0.686195901,-2.344100743,-3.030296644,-0.118493075
Dwayne Bacon,2018,-3.72845919,-1.391058016,-5.119517206,-0.862511191
Dwayne Bacon,2019,0.384196541,-2.816097783,-2.431901241,0.122323133
Marvin Bagley III,2019,-1.066198841,-1.807855582,-2.874054422,-0.099079105
Cameron Bairstow,2015,-4.496619746,-3.048730283,-7.545350029,-0.157321994
Cameron Bairstow,2016,-5.933374064,0.582192551,-5.351181513,-0.138074898
Ron Baker,2017,-2.492294626,2.063699924,-0.428594702,1.014834125
Ron Baker,2018,-0.595668365,1.627696435,1.03202807,0.747135318
Ron Baker,2019,-5.687231528,3.853925736,-1.833305792,0.068610662
Wade Baldwin IV,2017,-7.721213545,-2.313298526,-10.03451207,-1.550738921
Wade Baldwin IV,2018,-0.355374048,2.283540964,1.928166917,0.238614221
Wade Baldwin IV,2019,-11.4886496,-5.027374869,-16.51602446,-0.667983406
Lonzo Ball,2018,-0.888551146,1.449463137,0.560911991,3.040284621
Lonzo Ball,2019,-1.111960375,0.787086292,-0.324874083,1.776008115
Mo Bamba,2019,-5.257799221,-0.9367748,-6.194574021,-1.343945653
Leandro Barbosa,2014,-0.533144856,-1.646357587,-2.179502442,0.106515881
Leandro Barbosa,2015,0.804725177,-2.932643942,-2.127918765,0.392119818
Leandro Barbosa,2016,-0.074113888,-2.109546262,-2.18366015,0.416889838
Leandro Barbosa,2017,-0.306776109,-1.798967412,-2.10574352,0.316675595
J.J. Barea,2014,-0.8623582,-1.664899257,-2.527257457,0.165360148
J.J. Barea,2015,2.125737494,-0.028458893,2.097278601,3.722594288
J.J. Barea,2016,0.924203973,-2.298082806,-1.373878832,1.197722992
J.J. Barea,2017,1.903527249,0.533938914,2.437466163,2.034798515
J.J. Barea,2018,3.363616737,-1.703929343,1.659687394,3.600320086
J.J. Barea,2019,1.889043623,-0.675701744,1.213341879,1.52230274
Andrea Bargnani,2014,-2.901630408,0.563122803,-2.338507605,0.261726072
Andrea Bargnani,2015,-3.152251611,-4.960086723,-8.112338334,-2.142028808
Andrea Bargnani,2016,-3.269632502,-4.136780639,-7.406413142,-1.493580173
Harrison Barnes,2014,-3.202978166,-0.5754227,-3.778400866,-1.227514908
Harrison Barnes,2015,-0.620501695,0.146708891,-0.473792803,3.50200973
Harrison Barnes,2016,-0.97063452,-0.715061557,-1.685696077,1.497559093
Harrison Barnes,2017,-1.290026424,1.053399853,-0.236626571,3.55432082
Harrison Barnes,2018,-1.357464658,-0.165916318,-1.523380976,1.638759333
Harrison Barnes,2019,-0.888714088,-0.395421689,-1.284135777,1.915820103
Matt Barnes,2014,0.65972261,-0.643911052,0.015811559,3.059296318
Matt Barnes,2015,1.043621233,1.110971059,2.154592292,6.787033808
Matt Barnes,2016,-0.738800369,-1.855389486,-2.594189855,0.163582608
Matt Barnes,2017,-1.026056268,-0.977488824,-2.003545092,0.710132126
Earl Barron,2015,-6.162373247,-6.577017671,-12.73939092,-0.731749932
Will Barton,2014,-0.930909756,0.527674088,-0.403235668,0.565409085
Will Barton,2015,-1.271764882,0.991203916,-0.280560966,1.239981836
Will Barton,2016,0.249205377,-0.599943372,-0.350737996,2.878701878
Will Barton,2017,1.080347477,-1.899235326,-0.81888785,1.679492457
Will Barton,2018,1.263388439,-0.401034194,0.862354245,4.9405736
Will Barton,2019,-1.940068143,-2.2051097,-4.145177843,-1.107102727
Brandon Bass,2014,-2.051681274,-1.170599018,-3.222280292,-0.541079709
Brandon Bass,2015,-1.735010107,-1.224363645,-2.959373753,-0.227945012
Brandon Bass,2016,-0.031488239,-0.384970571,-0.41645881,1.586707134
Brandon Bass,2017,-0.403686973,-3.44020033,-3.843887303,-0.322314469
Keita Bates-Diop,2019,-3.448567504,-0.428779093,-3.877346597,-0.287116321
Shane Battier,2014,0.259689331,2.167350355,2.427039686,4.381639817
Nicolas Batum,2014,1.834131854,0.306724733,2.140856587,8.669646433
Nicolas Batum,2015,0.574498605,-0.165137744,0.409360861,4.220006825
Nicolas Batum,2016,1.105883581,-2.243041272,-1.137157691,2.101826397
Nicolas Batum,2017,0.873403788,-0.669862592,0.203541196,3.99955652
Nicolas Batum,2018,1.262516479,-2.255854151,-0.993337672,1.792241701
Nicolas Batum,2019,-0.878789327,-0.227779817,-1.106569144,1.977315187
Jerryd Bayless,2014,0.055387949,-2.443851918,-2.388463968,0.306814964
Jerryd Bayless,2015,-1.891251919,-0.186036701,-2.07728862,0.636176248
Jerryd Bayless,2016,0.165054292,-0.884811808,-0.719757516,1.547213365
